name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialWon,wasFouled,shotOffTarget,onTargetScoringAttempt,outfielderBlock,wonContest,blockedScoringAttempt,dispossessed,challengeLost,bigChanceCreated,totalOffside,goals,captain,team,teamType,bigChanceMissed,hitWoodwork
Jefferson Mena,jefferson-mena,J. Mena,D,2,183,63,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,23.0,20.0,2.0,,0.0,,,,,,90.0,31.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,3.0,1.0,1.0,3.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,True,Atlético Bucaramanga,away,,
Alejandro Artunduaga,alejandro-artunduaga,A. Artunduaga,D,16,174,36,841959,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,873763200,"{'value': 195000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. أرتوندواجا', 'hi': 'ए. आर्टुंडुआगा', 'bn': 'এ. আর্তুনডুয়াগা'}}",,16,False,10.0,5.0,1.0,,0.0,,,,,,45.0,23.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,6.0,,3.0,,3.0,1.0,,2.0,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,,
Carlos Henao,carlos-henao,C. Henao,D,29,187,64,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,26.0,17.0,6.0,,0.0,,,,,,65.0,37.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",,,,2.0,3.0,,4.0,,2.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,Atlético Bucaramanga,away,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177,29,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,False,49.0,46.0,7.0,7.0,0.0,,,,,,71.0,60.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",3.0,,1.0,2.0,3.0,3.0,,,,,2.0,,1.0,1.0,1.0,,2.0,,,,,,,,Atlético Bucaramanga,away,,
Edwin Castro,edwin-castro,E. Castro,M,22,183,84,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,60.0,56.0,2.0,1.0,0.0,,,,,,90.0,69.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,3.0,3.0,1.0,,3.0,3.0,,2.0,,,,,,,,1.0,1.0,,,,,Atlético Bucaramanga,away,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183,883,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800,"{'value': 210000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,97,False,10.0,7.0,,,0.0,,,,,,45.0,19.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,,2.0,1.0,2.0,,,,1.0,,,,2.0,,,1.0,,,,,1.0,,,Atlético Bucaramanga,away,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,,,9,False,4.0,4.0,,,0.0,,,,,,45.0,8.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,Atlético Bucaramanga,away,1.0,1.0
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176,96,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,False,25.0,23.0,,,0.0,,,,,,90.0,51.0,7.0,19.0,"{'original': 7, 'alternative': None}",9.0,1.0,,6.0,5.0,3.0,,,1.0,1.0,4.0,,4.0,1.0,,,,,2.0,,1.0,,,,Atlético Bucaramanga,away,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178,93,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,8,True,31.0,26.0,1.0,1.0,0.0,,,,,,45.0,41.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,,,,1.0,,3.0,,1.0,,,,,,,,,1.0,,,,,,,Atlético Bucaramanga,away,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176,185,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,True,5.0,3.0,1.0,,0.0,,,,,,3.0,5.0,3.0,2.0,"{'original': 3, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Luciano Pons,luciano-pons,L. Pons,F,27,180,1319,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,,,27,True,11.0,9.0,1.0,,0.0,,,,,,45.0,16.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,3.0,5.0,2.0,,,,,1.0,,1.0,1.0,,,,,2.0,1.0,,,,,,Atlético Bucaramanga,away,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,27.0,25.0,2.0,2.0,0.0,,,,,,25.0,33.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",2.0,2.0,,3.0,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,Atlético Bucaramanga,away,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171,238,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,70,True,9.0,8.0,2.0,1.0,0.0,,,,,,19.0,19.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",5.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,Atlético Bucaramanga,away,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187,40,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
