name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,totalClearance,fouls,wasFouled,keyPass,outfielderBlock,wonContest,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,penaltyMiss,penaltyWon,captain,team,teamType,goodHighClaim,penaltySave,penaltyConceded,bigChanceCreated
Sebastián Rodríguez,,,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,2,False,29.0,19.0,11.0,3.0,0.0,,,90.0,39.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,,,,,2.0,,,,,,1.0,1.0,4.0,,1.0,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Fredy Salazar,,,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,20,False,53.0,45.0,6.0,4.0,0.0,,,90.0,81.0,7.8,17.0,"{'original': 7.8, 'alternative': None}",7.0,2.0,1.0,,2.0,5.0,1.0,,,2.0,1.0,1.0,1.0,4.0,,4.0,3.0,1.0,,1.0,2.0,,2.0,,,True,Rionegro Águilas Doradas,away,,,,
Javier Alexander Mena,,,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,32,False,26.0,15.0,1.0,,0.0,,,90.0,42.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,2.0,5.0,4.0,1.0,,1.0,1.0,,,1.0,3.0,2.0,,,,1.0,,,,1.0,,,,Rionegro Águilas Doradas,away,,,,
Diego Hernández,,,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,5,False,30.0,24.0,7.0,3.0,0.0,,,90.0,43.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,2.0,,,,,,,2.0,6.0,1.0,,1.0,2.0,,,,,,,,,Rionegro Águilas Doradas,away,,,1.0,
Jesús Rivas,,,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,22,False,38.0,33.0,3.0,2.0,0.0,,,89.0,51.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,,,5.0,4.0,,3.0,1.0,,,,2.0,,1.0,2.0,2.0,,,,1.0,,,,,,Rionegro Águilas Doradas,away,,,,1.0
Tomás Salazar,,,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,8,False,9.0,8.0,1.0,1.0,0.0,,,45.0,13.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,3.0,3.0,2.0,,,,,,2.0,,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Yony González,,,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,11,False,19.0,11.0,1.0,,0.0,,,90.0,36.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,5.0,4.0,8.0,7.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,Rionegro Águilas Doradas,away,,,,
Johan Caballero,,,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,23,False,29.0,24.0,3.0,1.0,1.0,,,89.0,36.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,,7.0,,,1.0,,2.0,,1.0,,1.0,4.0,,2.0,,,,,,,,,,Rionegro Águilas Doradas,away,,,,1.0
Harrinson Mancilla,,,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,27,False,10.0,8.0,,,0.0,,,90.0,12.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,1.0,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Wilson Morelo,,,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,19,True,10.0,8.0,,,0.0,,,45.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Felipe Aguilar,,,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,3,True,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Jhojan Escobar,Jhojan Escobar,,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,6,True,,,,,0.0,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Jaen Pineda,,,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,16,True,1.0,1.0,,,0.0,,,1.0,5.0,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,Rionegro Águilas Doradas,away,,,,
Sebastián Guerra,,,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Nicolás Lara,Nicolás Lara,,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Fabián Suárez,Fabián Suárez,,fabian-suarez,F. Suárez,F,15,,4,1388934,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1089590400,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
