name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,totalOffside,keyPass,duelLost,goals,outfielderBlock,interceptionWon,fouls,aerialLost,dispossessed,shotOffTarget,challengeLost,totalContest,wonContest,accurateCross,hitWoodwork,bigChanceCreated,captain,team,teamType
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,False,16.0,15.0,6.0,5.0,0.0,,,7.0,,,,,,,45.0,27.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,Independiente Santa Fe,away
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,14.0,6.0,5.0,1.0,0.0,3.0,5.0,3.0,2.0,,,,,,90.0,27.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,3.0,,,1.0,2.0,,,,,1.0,,1.0,,,,Independiente Santa Fe,away
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",Johan Torres,,,14,False,31.0,22.0,1.0,,0.0,,3.0,2.0,,,,,,,82.0,41.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,2.0,,,4.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,Independiente Santa Fe,away
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",16,False,20.0,17.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,,,,,,90.0,27.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,,,,,1.0,3.0,,1.0,,3.0,,,,,,,1.0,,,,Independiente Santa Fe,away
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",20,False,22.0,18.0,1.0,1.0,0.0,,,1.0,,,,,,,89.0,27.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,,,,1.0,,,,,,,,,,,Independiente Santa Fe,away
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,17.0,13.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,68.0,29.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",5.0,,1.0,,,1.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,Independiente Santa Fe,away
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,23.0,15.0,2.0,,0.0,1.0,2.0,,,,,,,,90.0,27.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,1.0,,1.0,5.0,1.0,,,2.0,3.0,,,,1.0,,,,,True,Independiente Santa Fe,away
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,27.0,24.0,1.0,1.0,1.0,,,1.0,,,,,,,81.0,37.0,7.0,9.0,"{'original': 7, 'alternative': None}",6.0,,,,,2.0,2.0,,,,,1.0,,,,1.0,,1.0,,,,Independiente Santa Fe,away
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,True,5.0,3.0,2.0,1.0,0.0,,,2.0,,,,,,,45.0,7.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,,,,3.0,,,,,3.0,,,,,,,,,,Independiente Santa Fe,away
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,9.0,7.0,,,0.0,,3.0,,1.0,,,,,,22.0,13.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,Independiente Santa Fe,away
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,,,,,0.0,,2.0,,1.0,,,,,,9.0,2.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,,,,,0.0,,,,,,,,,,8.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,23,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",Jhon Meléndez,,,5,True,,,,,0.0,,1.0,,,,,,,,1.0,4.0,,2.0,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,Independiente Santa Fe,away
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,Jhoyler Andrades,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,Marlon Balanta,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
