name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,totalClearance,fouls,totalOffside,keyPass,aerialWon,duelWon,outfielderBlock,totalTackle,interceptionWon,accurateCross,totalContest,shotOffTarget,wasFouled,challengeLost,wonContest,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,goals,captain,team,teamType,fieldTranslations,errorLeadToAShot,hitWoodwork
Jhostin Medranda,Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",,24,False,39.0,32.0,4.0,2.0,0.0,,,,,90.0,46.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,Deportivo Pereira,away,,,
Jeison Suárez,,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,26,False,33.0,28.0,3.0,,0.0,,,,,90.0,49.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",2.0,1.0,3.0,1.0,1.0,,,1.0,,3.0,,1.0,,,2.0,,1.0,,1.0,,,,,,Deportivo Pereira,away,,,
Jorge Bermúdez,,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,5,False,22.0,20.0,,,0.0,,,,,45.0,26.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,,,,2.0,,,,1.0,,,,,,Deportivo Pereira,away,,,
Juan David Ríos,,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,14,False,33.0,28.0,4.0,1.0,1.0,,,,,73.0,39.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,5.0,,,3.0,,1.0,,1.0,1.0,,2.0,,1.0,,1.0,1.0,,,,1.0,,True,Deportivo Pereira,away,,,
Adrián Estacio,,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,97,False,29.0,19.0,3.0,1.0,0.0,,,,,90.0,47.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",5.0,,2.0,1.0,,,,3.0,,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,Deportivo Pereira,away,,,1.0
Yesus Cabrera,,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,10,False,49.0,41.0,4.0,3.0,0.0,,,,,90.0,56.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",5.0,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,Deportivo Pereira,away,,,
Kelvin Osorio,,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,33,False,17.0,15.0,1.0,1.0,0.0,,,,,65.0,24.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,,,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,Deportivo Pereira,away,,,
Gianfranco Peña,Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,9,False,5.0,5.0,,,0.0,,,,,73.0,23.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",1.0,3.0,3.0,,4.0,,,,1.0,3.0,,1.0,1.0,,,4.0,1.0,,,1.0,1.0,,,,Deportivo Pereira,away,,,
Darwin Quintero,,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,7,True,20.0,13.0,2.0,1.0,0.0,,,,,45.0,23.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,Deportivo Pereira,away,,,
Eber Moreno,Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,16,True,17.0,12.0,3.0,,0.0,,,,,25.0,22.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,Deportivo Pereira,away,,,
Yuber Quiñones,Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,13,True,6.0,4.0,1.0,,0.0,,,,,25.0,11.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,Deportivo Pereira,away,,,
Rubilio Castillo,,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}",,99,True,4.0,2.0,,,0.0,,,,,17.0,4.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,,,Deportivo Pereira,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,
Felipe Mosquera,Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,77,True,11.0,6.0,1.0,1.0,0.0,,,,,17.0,12.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,Deportivo Pereira,away,,,
Franklin Mosquera,Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
Julián Bazán,,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,
