name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,blockedScoringAttempt,outfielderBlock,goals,keyPass,accurateCross,hitWoodwork,penaltyWon,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,totalOffside
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,False,33.0,30.0,4.0,2.0,0.0,,,90.0,41.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,2.0,4.0,,,,,,,4.0,,,2.0,1.0,,1.0,,,,,,,Envigado FC,away,,,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,66.0,58.0,9.0,5.0,0.0,,,90.0,76.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",1.0,2.0,4.0,4.0,4.0,,,,,,,4.0,,,,2.0,3.0,1.0,,,,,,True,Envigado FC,away,,,1.0,
Juan Holguin,juan-holguin,J. Holguin,D,3,,10,1939490,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1104796800.0,,,,,3,False,40.0,33.0,3.0,1.0,0.0,,,90.0,65.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,,7.0,4.0,,1.0,3.0,1.0,,,,1.0,1.0,2.0,3.0,2.0,,,1.0,,,,,Envigado FC,away,,,,1.0
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,,Daniel Arcila,,26,False,46.0,35.0,2.0,,0.0,,,90.0,63.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",4.0,,,3.0,4.0,3.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,3.0,2.0,,,,Envigado FC,away,,,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",,Julián Palacio,,6,False,34.0,31.0,4.0,2.0,0.0,,,90.0,37.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,2.0,,,,,Envigado FC,away,,,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",,Johan Hinestroza,,14,False,25.0,20.0,2.0,1.0,0.0,,,60.0,30.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,1.0,1.0,4.0,2.0,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,Envigado FC,away,,,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,,Luis Díaz,,34,False,18.0,10.0,1.0,1.0,0.0,,,90.0,38.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",2.0,3.0,7.0,6.0,12.0,1.0,1.0,3.0,3.0,,2.0,2.0,2.0,,2.0,1.0,,,,1.0,1.0,,,,Envigado FC,away,,,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,13.0,13.0,,,0.0,,,45.0,20.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,Envigado FC,away,,,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,9.0,9.0,,,0.0,,,89.0,14.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,Envigado FC,away,,,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,,Jhon Araujo,,70,True,5.0,5.0,,,0.0,,,45.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,3.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,Envigado FC,away,,,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,,Geindry Cuervo,,15,True,19.0,17.0,2.0,1.0,0.0,,,30.0,26.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,Envigado FC,away,,,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",,Didier Dawson,,7,True,2.0,1.0,,,0.0,,,11.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,Envigado FC,away,,,,
Sebastián Chacón,sebastian-chacon,S. Chacón,M,25,,7,2048969,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Sebastián Chacón,,25,True,,,,,0.0,,,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",,Didier Palacios,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Emanuel Londoño,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Emanuel Londoño,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
