name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,penaltyConceded,fouls,clearanceOffLine,totalCross,wonContest,wasFouled,dispossessed,keyPass,onTargetScoringAttempt,shotOffTarget,blockedScoringAttempt,accurateCross,goals,captain,team,teamType,penaltyWon,totalOffside
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,32.0,25.0,10.0,6.0,0.0,,,90.0,42.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,2.0,3.0,4.0,,1.0,3.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,Rionegro Águilas Doradas,away,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,,6,False,41.0,32.0,6.0,3.0,0.0,,,90.0,58.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",,,1.0,,3.0,,,,,2.0,,,,7.0,,,,3.0,,,,2.0,,,Rionegro Águilas Doradas,away,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,36.0,26.0,4.0,3.0,0.0,,,90.0,54.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",,,1.0,3.0,5.0,2.0,,,,2.0,,,,3.0,,2.0,1.0,2.0,1.0,2.0,,,,,Rionegro Águilas Doradas,away,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,35.0,33.0,3.0,3.0,0.0,,,90.0,39.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,4.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,,,,,True,Rionegro Águilas Doradas,away,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,13.0,11.0,,,0.0,,,72.0,23.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,Rionegro Águilas Doradas,away,1.0,1.0
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,Antony Vásquez,,,9,False,16.0,13.0,1.0,1.0,0.0,,,89.0,26.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,2.0,3.0,5.0,6.0,1.0,2.0,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,,,,Rionegro Águilas Doradas,away,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,False,19.0,16.0,,,0.0,,,90.0,35.0,7.7,7.0,"{'original': 7.7, 'alternative': None}",,1.0,2.0,2.0,6.0,,1.0,3.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,1.0,,Rionegro Águilas Doradas,away,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,False,39.0,30.0,4.0,2.0,0.0,,,90.0,52.0,7.0,11.0,"{'original': 7, 'alternative': None}",1.0,1.0,1.0,5.0,6.0,1.0,,3.0,,4.0,,3.0,,,,1.0,,,,1.0,,,,,Rionegro Águilas Doradas,away,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,True,17.0,15.0,,,0.0,,,18.0,21.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,Rionegro Águilas Doradas,away,,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,,19,True,1.0,1.0,,,0.0,,,11.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
