name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,outfielderBlock,interceptionWon,fouls,duelWon,challengeLost,shotOffTarget,totalTackle,totalCross,accurateCross,aerialWon,totalContest,wasFouled,keyPass,onTargetScoringAttempt,goals,dispossessed,wonContest,blockedScoringAttempt,bigChanceCreated,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,bigChanceMissed,hitWoodwork
Carlos Sierra,,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,23.0,16.0,7.0,4.0,0.0,,5.0,1.0,,,,90.0,34.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,2.0,,,1.0,1.0,,1.0,,,,1.0,,2.0,,2.0,,,,Llaneros FC,away,,,
Eyder Restrepo,,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,62.0,48.0,8.0,5.0,0.0,1.0,2.0,,,,,90.0,70.0,7.0,15.0,"{'original': 7, 'alternative': None}",,1.0,1.0,5.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,,,,1.0,,,,,Llaneros FC,away,,,
Brandon Churi,Brandon Churi,,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,,19,False,,,,,0.0,,,,,,,15.0,1.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,Llaneros FC,away,,,
Andrés López,,,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",,8,False,14.0,12.0,,,0.0,,1.0,1.0,,,,83.0,21.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,Llaneros FC,away,,1.0,1.0
Bryan Urueña,,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,34.0,20.0,11.0,2.0,1.0,,3.0,,,,,90.0,55.0,7.3,21.0,"{'original': 7.3, 'alternative': None}",,1.0,1.0,3.0,,,,8.0,4.0,,2.0,2.0,5.0,,,1.0,1.0,,1.0,,True,Llaneros FC,away,,,
Michael Rangel,,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,False,18.0,14.0,2.0,1.0,0.0,1.0,2.0,,,,,90.0,30.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,1.0,,3.0,,3.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,Llaneros FC,away,,1.0,
Kener Valencia,Kener Valencia,,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,True,,,,,0.0,,1.0,,,,,5.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,Llaneros FC,away,,,
Freddy Espinal,Freddy Espinal,,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,80,True,12.0,9.0,3.0,2.0,0.0,1.0,4.0,,,,,70.0,39.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",1.0,,,6.0,,1.0,,6.0,5.0,1.0,3.0,4.0,3.0,,,1.0,1.0,3.0,1.0,,,Llaneros FC,away,,,
Óscar Vega,Oscar Vega,,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,True,23.0,17.0,3.0,2.0,0.0,,,,,,,45.0,30.0,7.0,6.0,"{'original': 7, 'alternative': None}",,1.0,,4.0,,1.0,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,Llaneros FC,away,,,
Duván Mosquera,Duván Mosquera,,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,True,5.0,5.0,1.0,1.0,0.0,,1.0,,,,,16.0,7.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,,Llaneros FC,away,,,
Roameth Romaña,Roameth Romaña,,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Maicol Medina,,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Marlon Sierra,,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
