name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialWon,interceptionWon,aerialLost,dispossessed,challengeLost,shotOffTarget,onTargetScoringAttempt,totalOffside,hitWoodwork,captain,team,teamType,savedShotsFromInsideTheBox,punches
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,69,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,25.0,18.0,9.0,5.0,0.0,1.0,,,,,90.0,42.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,,,15.0,,,,,,1.0,,,,,,,,,,Envigado FC,away,,
Brayan Murillo,Brayan Murillo,,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,36,False,10.0,8.0,2.0,1.0,0.0,1.0,3.0,1.0,,,90.0,32.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,4.0,,4.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,Envigado FC,away,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,23.0,19.0,5.0,2.0,0.0,1.0,,,,,90.0,26.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,Envigado FC,away,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,23.0,19.0,3.0,3.0,0.0,6.0,1.0,,,,89.0,35.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,3.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,1.0,,,,,Envigado FC,away,,
Dorlan Pabón,,,dorlan-pabon,D. Pabón,M,8,168.0,354,186847,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,569980800.0,"{'value': 55000, 'currency': 'EUR'}",8,False,17.0,10.0,6.0,2.0,0.0,3.0,1.0,1.0,,,66.0,29.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,1.0,2.0,,,True,Envigado FC,away,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,16.0,14.0,1.0,1.0,0.0,3.0,2.0,1.0,,,89.0,29.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",2.0,,4.0,,,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,Envigado FC,away,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,15.0,12.0,2.0,,0.0,4.0,1.0,,,,83.0,28.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,6.0,1.0,2.0,,2.0,,1.0,,2.0,,2.0,1.0,1.0,,,,,,Envigado FC,away,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,147,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,6.0,3.0,,,0.0,3.0,1.0,,,,65.0,11.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,,3.0,,,,,,,1.0,,,1.0,,,Envigado FC,away,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,4.0,2.0,,,0.0,1.0,,,,,25.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,2.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,Envigado FC,away,,
William Hurtado,William Hurtado,,william-hurtado,W. Hurtado,M,18,182.0,38,1146865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085961600.0,,18,True,8.0,7.0,2.0,2.0,0.0,,,,,,24.0,9.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,Envigado FC,away,,
Frey Berrio,Frey Berrio,,frey-berrio,F. Berrio,,19,,4,2038790,{},EUR,,,31,True,1.0,1.0,,,0.0,,1.0,,,,13.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,1.0,,,1.0,,,,,,,,,,,,Envigado FC,away,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,,,,,0.0,,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Andrés Vargas,Andrés Vargas,,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,17,True,2.0,1.0,,,0.0,,1.0,,,,1.0,3.0,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,Envigado FC,away,,
Matías Villa Marín,,,matias-villa-marin,M. V. Marín,G,1,,4,1847750,{},EUR,1195689600.0,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Deiro Ochoa,Deiro Ochoa,,deiro-ochoa,D. Ochoa,,23,,2,2038791,{},EUR,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
