name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,fouls,outfielderBlock,totalCross,interceptionWon,wasFouled,keyPass,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,goals,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceMissed,hitWoodwork,bigChanceCreated
Jefferson Mena,,,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",2,False,8.0,8.0,1.0,1.0,0.0,,1.0,2.0,,,26.0,12.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,1.0,,1.0,,,,,,,,,,,True,Atlético Bucaramanga,away,,,,,
Fredy Hinestroza,,,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",8,False,43.0,35.0,3.0,2.0,1.0,,4.0,3.0,,,90.0,64.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",,1.0,,1.0,,,3.0,,,2.0,,1.0,1.0,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,,
Edwin Castro,,,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",22,False,28.0,22.0,4.0,2.0,0.0,,1.0,1.0,,,90.0,37.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,1.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,Atlético Bucaramanga,away,,,1.0,1.0,
Leonardo Flores,,,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",28,False,40.0,29.0,6.0,1.0,0.0,1.0,7.0,,,,77.0,54.0,7.1,17.0,"{'original': 7.1, 'alternative': None}",,1.0,,1.0,,,4.0,1.0,,4.0,1.0,1.0,2.0,,,1.0,1.0,,,,Atlético Bucaramanga,away,,,,,
Jhon Vásquez,,,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",11,False,18.0,15.0,,,0.0,,1.0,,,,85.0,28.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,3.0,,1.0,,1.0,,,,4.0,,1.0,,2.0,,1.0,,,,,Atlético Bucaramanga,away,,,,,
Fabián Sambueza,,,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",10,False,35.0,28.0,2.0,1.0,1.0,,7.0,1.0,,,90.0,55.0,7.9,13.0,"{'original': 7.9, 'alternative': None}",,5.0,,5.0,1.0,,2.0,2.0,,2.0,1.0,2.0,5.0,1.0,,,3.0,,,,Atlético Bucaramanga,away,,,,,1.0
Kevin Londoño,,,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",7,False,27.0,22.0,,,0.0,1.0,1.0,,,,77.0,37.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,2.0,,,,,,1.0,,4.0,,,1.0,1.0,,1.0,,,,,Atlético Bucaramanga,away,,,,,
Luciano Pons,,,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",27,False,14.0,11.0,,,0.0,2.0,4.0,,,,77.0,25.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,4.0,,1.0,1.0,,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,Atlético Bucaramanga,away,,,,,
Carlos Henao,,,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",29,True,36.0,25.0,9.0,3.0,0.0,3.0,6.0,4.0,,,64.0,46.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",,,,,,1.0,,,,1.0,,3.0,,,1.0,,,,,,Atlético Bucaramanga,away,,,,,
Santiago Jiménez,,,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",6,True,3.0,2.0,1.0,,0.0,,,1.0,,,13.0,6.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,2.0,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Diego Chávez,Diego Chavez,,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",15,True,1.0,1.0,,,0.0,,1.0,,,,13.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Adalberto Peñaranda,,,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800,"{'value': 210000, 'currency': 'EUR'}",97,True,6.0,3.0,2.0,,0.0,,3.0,,,,13.0,9.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,,,,,,,3.0,,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,,,
Frank Castañeda,,,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",70,True,4.0,4.0,,,0.0,,1.0,,,,12.0,7.0,8.8,,"{'original': 8.8, 'alternative': None}",1.0,2.0,,,,,,1.0,,,,1.0,,,2.0,,,2.0,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,,,
Luis Vásquez,,,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
Aldair Zárate,Aldair Zárate,,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,,,
