name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,totalTackle,wasFouled,keyPass,onTargetScoringAttempt,interceptionWon,accurateCross,dispossessed,fouls,blockedScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,31.0,27.0,3.0,2.0,0.0,7.0,,,,90.0,40.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Once Caldas,away,
Juan Patiño,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,28.0,17.0,3.0,,0.0,2.0,,,,90.0,55.0,6.8,21.0,"{'original': 6.8, 'alternative': None}",5.0,,3.0,3.0,6.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,,,,,Once Caldas,away,
Mateo García,mateo-garcia,M. García,M,19,178,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,23.0,21.0,2.0,2.0,0.0,2.0,,,,58.0,33.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,4.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,Once Caldas,away,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,18.0,13.0,1.0,,0.0,1.0,,,,79.0,21.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,3.0,3.0,4.0,2.0,,,,,1.0,,2.0,,,,,1.0,,,,,Once Caldas,away,
Joel Contreras,contreras-joel,J. Contreras,F,16,165,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,False,2.0,1.0,,,0.0,,,,,45.0,5.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,1.0,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,Once Caldas,away,
Michael Barrios,michael-barrios,M. Barrios,M,7,163,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,11.0,11.0,,,0.0,2.0,,,,79.0,26.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,2.0,1.0,2.0,,,,1.0,,,1.0,,,,2.0,1.0,,,,Once Caldas,away,
Alejandro García,alejandro-garcia,A. García,M,20,185,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,31.0,29.0,3.0,1.0,0.0,1.0,,,,72.0,47.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,,5.0,5.0,,3.0,2.0,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,,Once Caldas,away,
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178,1699,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,,,17,False,28.0,22.0,3.0,1.0,0.0,,,,,90.0,37.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,,,,2.0,,,,2.0,,,2.0,,,1.0,,,,,,,True,Once Caldas,away,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,True,18.0,17.0,1.0,1.0,0.0,,,,,45.0,28.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",2.0,,,4.0,1.0,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,Once Caldas,away,
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,,,30,True,11.0,8.0,1.0,,0.0,,,,,32.0,17.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",4.0,1.0,,3.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,Once Caldas,away,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,2.0,2.0,,,0.0,,,,,18.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,4.0,,4.0,,,,,,,,,,,,,,,,,,,Once Caldas,away,
Luis Palacios,palacios-luis,L. Palacios,M,24,181,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,8.0,8.0,,,0.0,,,,,11.0,11.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",1.0,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,Once Caldas,away,
Juan Diaz,juan-diaz,J. Diaz,M,6,180,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,15.0,14.0,2.0,1.0,0.0,,,,,11.0,16.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,Once Caldas,away,
Felipe Parra,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,
