name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalClearance,totalTackle,wasFouled,fouls,keyPass,aerialLost,challengeLost,outfielderBlock,interceptionWon,shotOffTarget,onTargetScoringAttempt,dispossessed,blockedScoringAttempt,totalContest,wonContest,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,goals
Victor Moreno,victor-moreno,V. Moreno,D,3,180,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,20.0,12.0,4.0,2.0,0.0,,90.0,28.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,2.0,1.0,3.0,1.0,,1.0,,1.0,,,2.0,,,,,,,,,Independiente Santa Fe,away,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,14.0,8.0,4.0,2.0,0.0,,70.0,30.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,,5.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,Independiente Santa Fe,away,,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,Yaicar Perlaza,,,27,False,5.0,5.0,2.0,2.0,0.0,,45.0,8.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,Independiente Santa Fe,away,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,20,False,29.0,23.0,2.0,2.0,0.0,,90.0,38.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,1.0,,,,Independiente Santa Fe,away,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,16,False,25.0,21.0,3.0,2.0,0.0,,90.0,33.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,Independiente Santa Fe,away,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,20.0,14.0,2.0,,1.0,,75.0,28.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,,2.0,3.0,1.0,,1.0,1.0,4.0,,,,,,,1.0,,2.0,2.0,,,Independiente Santa Fe,away,,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,22.0,15.0,2.0,,0.0,,71.0,29.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,,1.0,1.0,,,,,,1.0,,,1.0,,2.0,,,1.0,1.0,,,Independiente Santa Fe,away,,,1.0
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,23.0,14.0,1.0,,0.0,,83.0,36.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",,,3.0,8.0,6.0,3.0,,2.0,1.0,,4.0,,,,1.0,,1.0,1.0,3.0,1.0,,True,Independiente Santa Fe,away,,,
Lucas Ríos,lucas-rios,L. Ríos,M,29,176,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,True,8.0,4.0,1.0,1.0,0.0,,45.0,14.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,3.0,5.0,,,4.0,2.0,,1.0,,,,,,,,1.0,1.0,,,Independiente Santa Fe,away,,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,1.0,,,,0.0,,20.0,7.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,3.0,,,,,1.0,,,,,,,,,,,,Independiente Santa Fe,away,,,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,7.0,6.0,,,0.0,,19.0,16.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,2.0,4.0,,1.0,3.0,,,,,,,,,1.0,1.0,1.0,,,,Independiente Santa Fe,away,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,1.0,,1.0,,0.0,,15.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,2.0,,,,,3.0,,,1.0,,,,,,,,,Independiente Santa Fe,away,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,1.0,1.0,,,0.0,,17.0,5.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,Independiente Santa Fe,away,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Leandro Angulo,leandro-angulo,L. Angulo,M,25,181,12,1175146,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,999734400,"{'value': 54000, 'currency': 'EUR'}",Leandro Angulo,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
