name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,shotOffTarget,totalClearance,fouls,aerialWon,duelWon,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,dispossessed,totalContest,wonContest,wasFouled,totalOffside,keyPass,challengeLost,blockedScoringAttempt,hitWoodwork,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,saves,punches,outfielderBlock,goals
Pedro Franco,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,5,False,58.0,51.0,14.0,10.0,0.0,,90.0,67.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,3.0,,7.0,1.0,4.0,5.0,1.0,2.0,,,,,,,,,,,,True,Alianza Valledupar FC,away,,,,,,
Leonardo Saldaña,,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400.0,"{'value': 225000, 'currency': 'EUR'}",,16,False,23.0,16.0,7.0,2.0,0.0,,90.0,43.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",2.0,,3.0,,4.0,2.0,,4.0,2.0,,,,,2.0,1.0,1.0,,,,,,,Alianza Valledupar FC,away,,,,,,
Jair Castillo,,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,7,False,49.0,45.0,3.0,1.0,0.0,,90.0,62.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,4.0,1.0,1.0,2.0,,4.0,3.0,,,1.0,1.0,,,1.0,,,1.0,,,,Alianza Valledupar FC,away,,,,,,
Diego Mendoza,Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",,23,False,29.0,21.0,2.0,,0.0,,61.0,37.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,1.0,4.0,3.0,,,1.0,,1.0,,,,,,,,,Alianza Valledupar FC,away,,,,,1.0,
Edwin Torres,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,29,False,5.0,3.0,,,0.0,,61.0,12.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,1.0,,,,Alianza Valledupar FC,away,,,,,,
Wiston Fernández,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,33,False,22.0,15.0,3.0,2.0,0.0,,70.0,29.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,,
Mayer Gil,Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",,99,False,10.0,5.0,1.0,,0.0,,79.0,18.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",2.0,,2.0,1.0,,1.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,Alianza Valledupar FC,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",,,,,
Misael Martínez,,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",,77,False,13.0,8.0,,,1.0,,90.0,24.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,,8.0,1.0,,,1.0,4.0,1.0,4.0,,1.0,,3.0,,2.0,,2.0,1.0,,,,Alianza Valledupar FC,away,,,,,,
Ruben Manjarres,Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",,21,True,20.0,17.0,1.0,1.0,0.0,,29.0,28.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,Alianza Valledupar FC,away,,,,,1.0,
Felipe Pardo,,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,17,True,13.0,8.0,3.0,1.0,0.0,,29.0,20.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",2.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,Alianza Valledupar FC,away,,,,,,1.0
Yilson Rosales,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,60,True,6.0,5.0,2.0,1.0,0.0,,20.0,13.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,,
José Muñoz,,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,10,True,11.0,10.0,2.0,1.0,0.0,,20.0,18.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,Alianza Valledupar FC,away,,,,,1.0,
Sergio Aponzá,,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,11,True,2.0,1.0,1.0,,0.0,,11.0,3.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,1.0,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,,
Antonio Simancas,Antonio Simancas,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,,
Jesús Figueroa,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,,,
