name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,interceptionWon,wasFouled,fouls,keyPass,aerialLost,totalTackle,dispossessed,hitWoodwork,shotOffTarget,onTargetScoringAttempt,outfielderBlock,blockedScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim,goals,bigChanceMissed,bigChanceCreated
Homer Martinez,homer-martinez,H. Martinez,M,18,186,57,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,24.0,18.0,1.0,1.0,0.0,,5.0,,,,66.0,36.0,7.6,9.0,"{'original': 7.6, 'alternative': None}",1.0,,3.0,,1.0,,,4.0,2.0,,,1.0,,,,2.0,,,,,Independiente Medellín,away,,1.0,,
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181,91,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,31.0,27.0,6.0,3.0,0.0,1.0,3.0,2.0,,,90.0,40.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,Independiente Medellín,away,,,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172,265,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,15.0,13.0,3.0,1.0,0.0,1.0,4.0,1.0,,,66.0,36.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,2.0,1.0,,,,2.0,,,,1.0,1.0,,,,1.0,1.0,,,Independiente Medellín,away,,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175,223,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",Léider Berrío,,,7,False,22.0,14.0,3.0,2.0,0.0,,3.0,2.0,,,71.0,41.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",7.0,4.0,2.0,,2.0,2.0,1.0,,2.0,4.0,,1.0,,,,,,,,,Independiente Medellín,away,,,,
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175,368,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",Brayan Léon Muñiz,,,27,False,10.0,7.0,1.0,1.0,1.0,,3.0,1.0,,,83.0,25.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,7.0,,3.0,3.0,,,4.0,1.0,2.0,,1.0,,2.0,1.0,,,,,Independiente Medellín,away,,,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186,581,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,,,19,False,18.0,12.0,,,0.0,3.0,4.0,,,,71.0,25.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,,7.0,,2.0,1.0,,,2.0,,2.0,,2.0,,,,,,1.0,,Independiente Medellín,away,,,,
Yeferson Rodallega,yeferson-rodallega,Y. Rodallega,D,17,178,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,,,17,True,7.0,5.0,,,0.0,,,1.0,,,24.0,12.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,,,,,,Independiente Medellín,away,,,,
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188,81,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,,,14,True,7.0,3.0,,,0.0,,1.0,1.0,,,24.0,13.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,1.0,1.0,,,,Independiente Medellín,away,,,1.0,
Diego Moreno,diego-moreno,D. Moreno,M,31,181,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,,,31,True,8.0,7.0,,,0.0,1.0,3.0,1.0,,,19.0,11.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,,,,,,1.0,,1.0,,1.0,,,,,,,,,Independiente Medellín,away,,,,1.0
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",Marcus Vinicius,,,10,True,7.0,4.0,1.0,,0.0,,,,,,19.0,9.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,,,,1.0,,1.0,,,,,,,1.0,,,Independiente Medellín,away,,,,
Fainer Torijano,fainer-torijano,F. Torijano,D,23,182,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,,,23,True,3.0,2.0,1.0,,0.0,,,1.0,,,14.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Eder Chaux,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183,306,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,
