name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,fouls,wonContest,wasFouled,blockedScoringAttempt,goals,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside,bigChanceMissed
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,,4,False,33.0,27.0,5.0,3.0,0.0,,,90.0,44.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,1.0,1.0,4.0,,,1.0,,3.0,,2.0,1.0,,,,1.0,1.0,,1.0,,1.0,,Deportes Tolima,away,,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,37.0,32.0,5.0,1.0,0.0,,,90.0,57.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,3.0,2.0,,1.0,,,2.0,,2.0,,1.0,1.0,,1.0,,,1.0,,,,Deportes Tolima,away,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,80,False,49.0,43.0,10.0,7.0,0.0,,,90.0,62.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",8.0,4.0,1.0,3.0,3.0,1.0,,,1.0,,,1.0,4.0,,,,2.0,,1.0,,,,,Deportes Tolima,away,,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,15,False,44.0,35.0,3.0,2.0,0.0,,,88.0,55.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",2.0,,,,1.0,,,,2.0,,2.0,,1.0,,1.0,,,,1.0,,,,True,Deportes Tolima,away,,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,18,False,34.0,27.0,,,0.0,,,87.0,50.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,1.0,5.0,6.0,,,4.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,3.0,,,,,Deportes Tolima,away,,1.0,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,False,23.0,21.0,1.0,1.0,0.0,,,65.0,37.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,,,8.0,4.0,,4.0,2.0,,,,2.0,,,,,2.0,,2.0,,,,,Deportes Tolima,away,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,23,False,43.0,36.0,3.0,2.0,0.0,,,89.0,64.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,,5.0,10.0,1.0,,6.0,,2.0,2.0,5.0,1.0,1.0,1.0,,1.0,4.0,1.0,,,,,Deportes Tolima,away,,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,24,False,21.0,16.0,,,0.0,,,90.0,34.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,3.0,3.0,,1.0,,1.0,1.0,,2.0,3.0,2.0,,,,,1.0,,,,,Deportes Tolima,away,,,1.0
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,7,True,4.0,3.0,,,0.0,,,25.0,10.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,Deportes Tolima,away,,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",,19,True,1.0,,,,0.0,,,9.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,1.0,,,,,,,,,,,,,,Deportes Tolima,away,,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,3,True,1.0,,,,0.0,,,8.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,Deportes Tolima,away,,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,28,True,1.0,,,,0.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,Deportes Tolima,away,,,
John Azcarate,John Azcarate,,john-azcarate,J. Azcarate,G,12,,4,1618635,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600.0,"{'value': 410000, 'currency': 'EUR'}",,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
