name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,hitWoodwork,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,onTargetScoringAttempt,accurateCross,challengeLost,dispossessed,blockedScoringAttempt,totalOffside,bigChanceMissed,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,14.0,12.0,3.0,1.0,0.0,,,51.0,20.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,Once Caldas,away,,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,23.0,10.0,7.0,,0.0,,,90.0,35.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,3.0,5.0,,,,3.0,2.0,1.0,4.0,,2.0,,,,,1.0,,,,,,,Once Caldas,away,,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,Mateo,Zuleta,28,False,34.0,28.0,3.0,,1.0,,,90.0,60.0,6.4,22.0,"{'original': 6.4, 'alternative': None}",8.0,,,7.0,3.0,5.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,Once Caldas,away,,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,24.0,24.0,,,0.0,,,76.0,26.0,6.4,,"{'original': 6.4, 'alternative': None}",,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,Once Caldas,away,,,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,14.0,13.0,2.0,1.0,0.0,,,38.0,18.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,Once Caldas,away,,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,30,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,False,32.0,27.0,2.0,1.0,0.0,,,90.0,53.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",2.0,,,,1.0,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,Once Caldas,away,,,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,48.0,42.0,1.0,1.0,0.0,,,90.0,59.0,7.9,9.0,"{'original': 7.9, 'alternative': None}",2.0,,1.0,3.0,7.0,3.0,,,,,,,3.0,1.0,3.0,3.0,1.0,,2.0,,1.0,,,1.0,,Once Caldas,away,,,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,14.0,10.0,,,0.0,,,76.0,23.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,,6.0,1.0,3.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,Once Caldas,away,,,
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178.0,1699,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,,,17,False,23.0,19.0,3.0,3.0,1.0,,,90.0,33.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,2.0,,1.0,,,,1.0,,,,True,Once Caldas,away,,,
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,15.0,12.0,1.0,,0.0,,,52.0,21.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,4.0,,,,,1.0,,2.0,,,4.0,1.0,,,,,,,,,,,Once Caldas,away,,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,,34,True,1.0,1.0,,,0.0,,,39.0,6.0,6.4,,"{'original': 6.4, 'alternative': None}",,,,1.0,1.0,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,Once Caldas,away,,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,14.0,13.0,,,0.0,,,14.0,15.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,Once Caldas,away,,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",,Jefry Zapata,,14,True,14.0,12.0,1.0,,0.0,,,14.0,21.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,,,1.0,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,,Once Caldas,away,,,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167.0,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200,"{'value': 205000, 'currency': 'EUR'}",,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,
