name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,totalContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,outfielderBlock,keyPass,aerialWon,duelWon,dispossessed,wasFouled,fouls,totalCross,accurateCross,challengeLost,wonContest,totalTackle,totalOffside,aerialLost,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,46.0,39.0,7.0,4.0,1.0,,85.0,57.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,1.0,,,,1.0,,2.0,1.0,,3.0,,1.0,,,,,1.0,1.0,,,1.0,,True,Deportes Tolima,away,,,
Kevin Pérez,kevin-perez,K. Pérez,M,18,170.0,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,7.0,5.0,,,0.0,,45.0,11.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,Deportes Tolima,away,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171.0,135,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,,,25,False,25.0,25.0,,,0.0,,73.0,29.0,6.4,,"{'original': 6.4, 'alternative': None}",1.0,,,,,,1.0,,,,2.0,,1.0,,,,,,1.0,,1.0,,1.0,,Deportes Tolima,away,,,
Alex Castro,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,30.0,23.0,1.0,,0.0,,89.0,45.0,6.0,17.0,"{'original': 6, 'alternative': None}",6.0,3.0,,,,,,,,,3.0,1.0,,2.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,Deportes Tolima,away,,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178.0,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,6.0,5.0,1.0,1.0,0.0,,90.0,11.0,8.2,2.0,"{'original': 8.2, 'alternative': None}",1.0,,1.0,2.0,2.0,,,,,,1.0,,1.0,2.0,,,,,,2.0,,,,,Deportes Tolima,away,,,
Ever Valencia,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,,,8,True,23.0,17.0,4.0,1.0,0.0,,45.0,37.0,7.0,9.0,"{'original': 7, 'alternative': None}",3.0,7.0,,1.0,,1.0,,,,,6.0,,1.0,1.0,,,,5.0,,,,,,,Deportes Tolima,away,,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,9.0,8.0,1.0,,0.0,,17.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,Deportes Tolima,away,,,
Adrián Parra,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,,,24,True,1.0,1.0,1.0,1.0,0.0,,11.0,2.0,6.8,,"{'original': 6.8, 'alternative': None}",1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,Deportes Tolima,away,,,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,,,71,True,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,,,28,True,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Deportes Tolima,away,,,
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
Juan Perez,juan-perez,J. Perez,M,16,,2,1807589,{},EUR,1110499200,,Juan Perez,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,
