name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,blockedScoringAttempt,totalTackle,wasFouled,aerialWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalContest,fouls,keyPass,shotOffTarget,dispossessed,onTargetScoringAttempt,wonContest,goals,totalOffside,captain,team,teamType
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,20.0,17.0,,,0.0,,,66.0,33.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",3.0,2.0,,2.0,3.0,,2.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,Independiente Santa Fe,away
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,12.0,11.0,,,0.0,,,29.0,16.0,5.2,4.0,"{'original': 5.2, 'alternative': None}",1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,Independiente Santa Fe,away
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,25.0,16.0,2.0,,0.0,,,83.0,48.0,6.3,24.0,"{'original': 6.3, 'alternative': None}",7.0,1.0,,7.0,2.0,,,1.0,,,1.0,,2.0,3.0,1.0,2.0,,4.0,,1.0,,,,Independiente Santa Fe,away
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,14.0,11.0,1.0,,0.0,,,83.0,28.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,1.0,5.0,5.0,1.0,1.0,1.0,2.0,,2.0,,,3.0,,,,2.0,1.0,1.0,,,True,Independiente Santa Fe,away
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,True,2.0,2.0,1.0,1.0,0.0,,,24.0,3.0,6.3,,"{'original': 6.3, 'alternative': None}",,,1.0,3.0,,,,,,,,,,,2.0,,,,,,,,,Independiente Santa Fe,away
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,3.0,1.0,3.0,1.0,0.0,,,17.0,3.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,,,,,0.0,,,12.0,1.0,6.4,,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,Independiente Santa Fe,away
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,2.0,2.0,,,0.0,,,12.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,away
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,1.0,1.0,,,0.0,,,12.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,Independiente Santa Fe,away
Kevin Andres Cuesta Rodriguez,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188.0,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200,"{'value': 205000, 'currency': 'EUR'}",,Kevin Andres Cuesta Rodriguez,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Lucas Ríos,lucas-rios,L. Ríos,M,29,176.0,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
