name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,totalOffside,possessionLostCtrl,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,blockedScoringAttempt,keyPass,hitWoodwork,accurateCross,captain,team,teamType,ownGoals
Óscar Barreto,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",,22,False,9.0,7.0,1.0,1.0,0.0,,31.0,15.0,6.5,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,1.0,,1.0,,,,,3.0,,,,,1.0,1.0,1.0,,1.0,,,,,Unión Magdalena,away,
Fabián Cantillo,,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",,24,False,47.0,35.0,3.0,1.0,0.0,,90.0,58.0,6.5,"{'original': 6.5, 'alternative': None}",,1.0,4.0,3.0,1.0,2.0,,,,,,17.0,1.0,,,,1.0,1.0,,,,,,,,Unión Magdalena,away,
Juan Diego Giraldo,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",,21,False,10.0,9.0,1.0,1.0,0.0,,45.0,17.0,6.5,"{'original': 6.5, 'alternative': None}",1.0,,3.0,3.0,,1.0,1.0,,,,,4.0,1.0,,,,3.0,,1.0,,,,,,,Unión Magdalena,away,
Cristian Sención,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",,16,False,6.0,3.0,1.0,,0.0,,25.0,15.0,4.8,"{'original': 4.8, 'alternative': None}",1.0,,3.0,3.0,,1.0,,,,,,6.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,,,,True,Unión Magdalena,away,
Orles Aragón,,orles-aragon,O. Aragón,F,11,180.0,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",,11,False,5.0,5.0,,,0.0,,79.0,16.0,6.3,"{'original': 6.3, 'alternative': None}",,,6.0,1.0,,,1.0,,,1.0,,6.0,4.0,1.0,,2.0,,,,3.0,,,,,,Unión Magdalena,away,
José Mercado,José Mercado,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",,28,True,42.0,35.0,6.0,3.0,0.0,,59.0,51.0,6.6,"{'original': 6.6, 'alternative': None}",,,3.0,1.0,,1.0,,,,1.0,,9.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,,Unión Magdalena,away,
Valentin Sanchez,Valentin Sanchez,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,,8,True,19.0,12.0,3.0,,0.0,,45.0,29.0,6.4,"{'original': 6.4, 'alternative': None}",,,4.0,1.0,1.0,1.0,,1.0,,,,12.0,1.0,,,,1.0,,1.0,,1.0,,,,,Unión Magdalena,away,
Janeth Aleman,,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,,13,True,5.0,5.0,,,0.0,,45.0,12.0,6.8,"{'original': 6.8, 'alternative': None}",,,2.0,3.0,,1.0,,,,,,3.0,,,,,1.0,2.0,,1.0,,1.0,,,,Unión Magdalena,away,
Franklin Navarro,,franklin-navarro,F. Navarro,F,29,172.0,49,1387079,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925344000.0,"{'value': 105000, 'currency': 'EUR'}",,29,True,11.0,9.0,1.0,,0.0,,11.0,13.0,6.6,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,Unión Magdalena,away,
Guillermo Gómez,Guillermo Gómez,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
David Murillo,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Jhoan Pinto,,jhoan-pinto,J. Pinto,M,14,,5,1831290,{},EUR,,,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
