name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,totalTackle,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,dispossessed,totalContest,onTargetScoringAttempt,outfielderBlock,wasFouled,fouls,aerialLost,blockedScoringAttempt,interceptionWon,challengeLost,accurateCross,keyPass,bigChanceCreated,totalOffside,shotOffTarget,goals,captain,team,teamType,wonContest,bigChanceMissed
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,False,44.0,34.0,7.0,3.0,0.0,1.0,4.0,1.0,,,,,90.0,52.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,,5.0,,,,,,3.0,2.0,,1.0,,,,,,,,,Atlético Nacional,away,,
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,False,23.0,19.0,3.0,1.0,0.0,1.0,3.0,,,,,,45.0,29.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,Atlético Nacional,away,,
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}",Andrés Salazar,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,22.0,19.0,1.0,,0.0,2.0,1.0,2.0,,,,,90.0,39.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",4.0,,2.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,Atlético Nacional,away,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",Kilian Toscano,,,5,False,24.0,20.0,1.0,,0.0,3.0,,1.0,,,,,73.0,30.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,,,,,,2.0,,,,1.0,,,,,,,,,Atlético Nacional,away,,
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,32.0,28.0,6.0,4.0,0.0,2.0,1.0,1.0,,,,,90.0,40.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,6.0,1.0,1.0,,,,4.0,,,,,,,,,2.0,,,Atlético Nacional,away,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,5.0,4.0,,,0.0,4.0,,2.0,,,,,45.0,16.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,3.0,,4.0,,1.0,1.0,,,,,,,,,,,,,Atlético Nacional,away,1.0,
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,False,5.0,5.0,,,0.0,,,,,,,,45.0,11.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",1.0,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,Atlético Nacional,away,,
Kevin Parra,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",Kevin Parra,,,30,False,9.0,8.0,1.0,1.0,0.0,8.0,,4.0,,,,,58.0,27.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",1.0,,1.0,1.0,,,,4.0,,,,,,1.0,,,,1.0,,,Atlético Nacional,away,,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,False,11.0,10.0,,,0.0,1.0,1.0,,,,,,90.0,21.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,,6.0,1.0,1.0,,,1.0,1.0,3.0,,,,,1.0,,1.0,1.0,,,Atlético Nacional,away,,1.0
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,True,41.0,35.0,9.0,6.0,0.0,3.0,,1.0,,,,,45.0,47.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,1.0,,3.0,,,,,,,1.0,,,,,,,,,Atlético Nacional,away,2.0,
Billy Arce,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,True,28.0,25.0,4.0,2.0,0.0,3.0,,,,,,,45.0,37.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",2.0,,1.0,,,2.0,,3.0,1.0,,,,,,2.0,,1.0,2.0,,,Atlético Nacional,away,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,True,9.0,7.0,,,0.0,4.0,,,,,,,45.0,21.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,3.0,,4.0,,,2.0,,,,,,3.0,3.0,1.0,,,,,Atlético Nacional,away,1.0,
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,True,8.0,5.0,,,0.0,1.0,,,,,,,32.0,13.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,3.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,Atlético Nacional,away,,
Elkin Rivero,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,,,26,True,19.0,15.0,3.0,2.0,0.0,2.0,,1.0,,,,,17.0,21.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,Atlético Nacional,away,,
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Andrés Román,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
